,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man Three,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame
Tony Stark,77.25,0.5,61.25,,,31.75,62.25,,,,27.25,,37.25,,,,,,17.0,,,34.75
Pepper Potts,23.25,,17.5,,,4.5,18.0,,,,,,,,,0.75,,,1.5,,,4.25
Obadiah Stane,22.0,,,,,,,,,,,,,,,,,,,,,
James Rhodes,8.25,,18.75,,,,9.75,,,,2.5,,7.25,,,,,,2.75,,0.25,9.25
Phil Coulson,3.75,,,,,,,,,,,,,,,,,,,,2.75,
Happy,1.25,,4.25,,,,6.25,,,,,,,,,,,,,,,0.75
Nick Fury,0.25,,5.5,0.75,0.5,18.25,,,15.5,,,,,,,,,,,,22.5,0.25
Bruce Banner,,51.75,,,,21.75,0.75,,,,20.0,,,,,,17.25,,9.5,,0.25,20.0
Ivan Vanko,,,20.75,,,,,,,,,,,,,,,,,,,
Black Widow,,,9.25,,,24.75,,,24.75,,18.0,,11.5,,,,0.25,,,,0.5,16.0
Howard Stark,,,,,,,,,,,,,1.75,,,,,,,,,
Peter Parker,,,,,,,,,,,,,8.5,,,76.25,,,7.25,,,
Thor,,,,43.25,,18.0,,35.0,,,13.25,,,0.75,,,58.75,,15.25,,,21.25
Loki,,,,21.25,,21.5,,17.5,,,,,,,,,13.5,,3.75,,,
Jane Foster,,,,21.0,,,,25.0,,,,,,,,,,,,,,0.25
Erik Selvig,,,,13.75,,,,6.5,,,,,,,,,,,,,,
Odin,,,,11.25,,,,,,,,,,,,,3.75,,,,,
Heimdall,,,,4.25,,,,4.25,,,0.5,,,,,,4.5,,0.75,,,
Frigga,,,,,,,,,,,,,,,,,,,,,,2.75
Hawkeye,,,,0.5,,12.75,,,,,15.0,,4.25,,,,,,,,,18.0
